Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,AssetType,FetchDate,Timeframe,Interval
2024-01-17 00:00:00,12.204057886661758,12.466107960237423,12.11982728273506,12.400595664978027,10527400,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
2024-01-18 00:00:00,12.634568617894356,13.093156449816206,12.615850310042177,13.027644157409668,17794500,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
2024-01-19 00:00:00,13.02764528559031,13.28969537044777,12.934055523300728,13.177388191223145,10389700,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
2024-01-22 00:00:00,13.25225908561004,13.392643723128824,13.149311065460065,13.383284568786621,8532200,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
2024-01-23 00:00:00,13.476873214566133,13.514308938785671,13.224182299218779,13.327130317687988,4727100,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
2024-01-24 00:00:00,14.038409611826166,14.384690275146648,13.757641241082034,14.150716781616211,17747700,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
2024-01-25 00:00:00,14.216230638539423,14.263025520902405,13.682771300200606,13.804437637329102,9054400,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
2024-01-26 00:00:00,13.81379602017584,13.982256337712943,13.65469396455773,13.720206260681152,4861100,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
2024-01-29 00:00:00,13.729563924993268,13.926101684570312,13.617256761311813,13.926101684570312,5711200,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
2024-01-30 00:00:00,13.916743119022943,13.954178841831517,13.785717642923922,13.860589981079102,4687000,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
2024-01-31 00:00:00,13.317771163498586,13.776359900860495,13.233541453408181,13.327130317687988,12835700,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
2024-02-01 00:00:00,13.383284531401154,13.420720256127304,12.681364023382262,13.008926391601562,13969000,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
2024-02-02 00:00:00,12.83110565160396,13.177386294162705,12.80302908397433,13.037002563476562,10817300,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
2024-02-05 00:00:00,12.877902185872182,13.111875695531758,12.831107305432646,12.93405532836914,6120100,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
2024-02-06 00:00:00,12.943414338746644,13.280335867588668,12.86854288789286,12.924696922302246,8795200,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
2024-02-07 00:00:00,12.887260200927132,13.055720506060213,12.587773528118714,12.784311294555664,6488200,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
2024-02-08 00:00:00,12.681363857402774,12.95277308124956,12.597133254736862,12.905978202819824,6096100,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
2024-02-09 00:00:00,12.840466847918345,13.008927173036247,12.784312811186956,12.859184265136719,5862500,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
2024-02-12 00:00:00,12.905977816008424,13.327129924177354,12.896618662095369,13.168027877807617,7909800,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
2024-02-13 00:00:00,12.774952374814898,12.971490144852266,12.709440082315123,12.887260437011719,8424400,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
2024-02-14 00:00:00,13.04636287689209,13.083798603800634,12.82174851544083,13.04636287689209,4963700,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
2024-02-15 00:00:00,13.10251558549233,13.392643109030685,13.008925831437882,13.168027877807617,7523100,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
2024-02-16 00:00:00,13.027643393089134,13.205462844562097,12.980848518742146,12.99020767211914,4973000,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
2024-02-20 00:00:00,13.018285938958778,13.430079815917182,12.962132796443246,13.214823722839355,6663800,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
2024-02-21 00:00:00,13.055722254213023,13.177388591873422,12.962133381616052,13.149312019348145,5018900,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
2024-02-22 00:00:00,13.139952659606934,13.317772139547463,13.08379862289311,13.139952659606934,5467100,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
2024-02-23 00:00:00,13.139952116438147,13.233541876246404,13.046362356629892,13.158670425415039,3323000,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
2024-02-26 00:00:00,13.102514835029117,13.24289856553209,12.934053644395156,12.99020767211914,5342300,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
2024-02-27 00:00:00,13.027644356150349,13.28033526824333,13.008926048012617,13.22418212890625,6125800,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
2024-02-28 00:00:00,13.16802943685228,13.308414084554961,13.074440564255308,13.149312019348145,5837700,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
2024-02-29 00:00:00,13.345848856494841,13.476873447256443,13.121234507299453,13.19610595703125,6362400,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
2024-03-01 00:00:00,13.065081205680592,13.196106696320758,12.924697452703233,13.139952659606934,4732400,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
2024-03-04 00:00:00,13.336490241575754,13.664053516805145,13.22418306243548,13.411361694335938,6837400,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
2024-03-05 00:00:00,13.383283435426767,14.01969070365512,13.364565128327518,13.982254981994629,6933700,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
2024-03-06 00:00:00,13.944819450378418,14.150716368586151,13.654692826690177,13.944819450378418,9823000,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
2024-03-07 00:00:00,14.066486551274771,14.206871186609844,13.879307930032745,14.029050827026367,6923100,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
2024-03-08 00:00:00,14.216231028551594,14.30046164060814,13.99161665809292,14.010334968566895,8528900,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
2024-03-11 00:00:00,13.954180555921418,14.057129475694458,13.82315595626576,13.851232528686523,8689800,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
2024-03-12 00:00:00,13.832514209731633,13.907385664497147,13.692130455180832,13.804437637329102,7809300,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
2024-03-13 00:00:00,13.916743278503418,13.982255571034658,13.83251267808437,13.916743278503418,4390800,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
2024-03-14 00:00:00,13.98292431521527,14.096375925893767,13.822200974679085,13.878927230834961,6570100,0.15,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
2024-03-15 00:00:00,13.784383771119586,14.153102182049642,13.784383771119586,13.878927230834961,17226800,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
2024-03-18 00:00:00,13.822201317482653,14.077468124065069,13.727658757055789,13.992379188537598,5422700,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
2024-03-19 00:00:00,13.982923460293762,14.181463992250599,13.907289057799082,14.124737739562988,4845500,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
2024-03-20 00:00:00,14.049102952762036,14.455638531275262,13.99237760325932,14.389458656311035,5421100,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
2024-03-21 00:00:00,14.531274392100329,14.635271477729178,14.446185457661604,14.559637069702148,4454000,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
2024-03-22 00:00:00,14.588001187792289,14.644726545091263,14.134193821234003,14.15310287475586,4920800,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
